code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
ESMI3,Escobaria missouriensis (Sweet) D.R. Hunt,Missouri foxtail cactus,Cactaceae,SUC,SUC
ESVI2,Escobaria vivipara (Nutt.) Buxbaum,spinystar,Cactaceae,SUC,SUC
OPPO,Opuntia polyacantha Haw.,plains pricklypear,Cactaceae,SUC,SUC
PESI,Pediocactus simpsonii (Engelm.) Britton & Rose,mountain ball cactus,Cactaceae,SUC,SUC
CARO2,Campanula rotundifolia L.,bluebell bellflower,Campanulaceae,PF,PF
SYMPHSH,Symphoricarpos Duham.,snowberry,Caprifoliaceae,SH,SH
SYOC,Symphoricarpos occidentalis Hook.,western snowberry,Caprifoliaceae,SH,SH
SYRO,Symphoricarpos rotundifolius A. Gray,roundleaf snowberry,Caprifoliaceae,SH,SH
ARCO5,Arenaria congesta Nutt.,ballhead sandwort,Caryophyllaceae,PF,PF
ARHO4,Arenaria hookeri Nutt.,Hooker's sandwort,Caryophyllaceae,PF,PF
CEAR4,Cerastium arvense L.,field chickweed,Caryophyllaceae,PF,PF
CENU2,Cerastium nutans Raf.,nodding chickweed,Caryophyllaceae,AF,AF
HOUM,Holosteum umbellatum L.,jagged chickweed,Caryophyllaceae,AF,AF
SIDR,Silene drummondii Hook.,Drummond's campion,Caryophyllaceae,PF,PF
ATCA2,Atriplex canescens (Pursh) Nutt.,fourwing saltbush,Chenopodiaceae,SH,SH
ATCO,Atriplex confertifolia (Torr. & FrÃ©m.) S. Watson,shadscale saltbush,Chenopodiaceae,SH,SH
BAAM4,Bassia americana (S. Watson) A.J. Scott,green molly,Chenopodiaceae,SSH,SSH
BASC5,Bassia scoparia (L.) A.J. Scott,burningbush,Chenopodiaceae,AF,AF
CHFR3,Chenopodium fremontii S. Watson,Fremont's goosefoot,Chenopodiaceae,AF,AF
CHENOAF,Chenopodium L.,goosefoot,Chenopodiaceae,AF,AF
CHLE4,Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson,narrowleaf goosefoot,Chenopodiaceae,AF,AF
CHPR5,Chenopodium pratericola Rydb.,desert goosefoot,Chenopodiaceae,AF,AF
GRSP,Grayia spinosa (Hook.) Moq.,spiny hopsage,Chenopodiaceae,SH,SH
HAGL,Halogeton glomeratus (M. Bieb.) C.A. Mey.,saltlover,Chenopodiaceae,AF,AF
KRLA2,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,winterfat,Chenopodiaceae,SH,SH
SELA,Sedum lanceolatum Torr.,spearleaf stonecrop,Crassulaceae,SUC,SUC
JUCO6,Juniperus communis L.,common juniper,Cupressaceae,TR,TR
JUOC,Juniperus occidentalis Hook.,western juniper,Cupressaceae,TR,TR
JUOS,Juniperus osteosperma (Torr.) Little,Utah juniper,Cupressaceae,TR,TR
CADO2,Carex douglasii Boott,Douglas' sedge,Cyperaceae,PSE,PG
CADU6,Carex duriuscula C.A. Mey.,needleleaf sedge,Cyperaceae,PSE,PG
CAFI,Carex filifolia Nutt.,threadleaf sedge,Cyperaceae,PSE,PG
CAREXPG,Carex L.,sedge,Cyperaceae,PSE,PG
CAPE7,Carex petasata Dewey,Liddon sedge,Cyperaceae,PSE,PG
CARO5,Carex rossii Boott,Ross' sedge,Cyperaceae,PSE,PG
CAVA3,Carex vallicola Dewey,valley sedge,Cyperaceae,PSE,PG
EPNE,Ephedra nevadensis S. Watson,Nevada jointfir,Ephedraceae,SH,SH
EPVI,Ephedra viridis Coville,mormon tea,Ephedraceae,SH,SH
CHFE3,Chamaesyce fendleri (Torr. & A. Gray) Small,Fendler's sandmat,Euphorbiaceae,PF,PF
CHPA28,Chamaesyce parryi (Engelm.) Rydb.,Parry's sandmat,Euphorbiaceae,AF,AF
CHAMA15AF,Chamaesyce Gray,sandmat,Euphorbiaceae,AF,AF
ASAG2,Astragalus agrestis Douglas ex G. Don,purple milkvetch,Fabaceae,PF,PF
ASAR4,Astragalus argophyllus Nutt.,silverleaf milkvetch,Fabaceae,PF,PF
ASAT,Astragalus atratus S. Watson,mourning milkvetch,Fabaceae,PF,PF
ASCA9,Astragalus calycosus Torr. ex S. Watson,Torrey's milkvetch,Fabaceae,PF,PF
ASCI2,Astragalus cibarius Sheldon,browse milkvetch,Fabaceae,PF,PF
